:Data_list: ace_mag_1m.txt
:Created: 2014 Nov 25 0023 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Magnetometer values are in GSM coordinates.
# 
# Units: Bx, By, Bz, Bt in nT
# Units: Latitude  degrees +/-  90.0
# Units: Longitude degrees 0.0 - 360.0
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -999.9
# Source: ACE Satellite - Magnetometer
#
#              1-minute averaged Real-time Interplanetary Magnetic Field Values 
# 
#                 Modified Seconds
# UT Date   Time  Julian   of the   ----------------  GSM Coordinates ---------------
# YR MO DA  HHMM    Day      Day    S     Bx      By      Bz      Bt     Lat.   Long.
#------------------------------------------------------------------------------------
2014 11 24  2333   56985   84780    0    -4.4     3.8    -0.6     5.8    -6.2   139.1
2014 11 24  2334   56985   84840    0    -4.6     3.6    -0.7     5.9    -6.4   142.5
2014 11 24  2335   56985   84900    0    -4.8     3.3     0.6     5.8     5.6   145.6
2014 11 24  2336   56985   84960    0    -4.7     3.5     0.2     5.9     2.4   143.4
2014 11 24  2337   56985   85020    0    -4.1     4.2    -0.7     5.9    -6.4   134.2
2014 11 24  2338   56985   85080    0    -4.2     4.1    -0.7     5.9    -7.1   135.8
2014 11 24  2339   56985   85140    0    -4.0     4.0    -1.0     5.8   -10.0   135.0
2014 11 24  2340   56985   85200    0    -4.2     3.9     0.5     5.7     5.3   137.1
2014 11 24  2341   56985   85260    0    -4.4     3.9     0.8     5.9     7.9   138.6
2014 11 24  2342   56985   85320    0    -4.2     3.9     0.8     5.8     8.0   137.0
2014 11 24  2343   56985   85380    0    -4.1     3.7     1.6     5.7    16.4   137.5
2014 11 24  2344   56985   85440    0    -4.3     3.6     1.3     5.8    13.0   139.9
2014 11 24  2345   56985   85500    0    -4.2     3.7     1.1     5.7    11.1   138.8
2014 11 24  2346   56985   85560    0    -4.5     2.9     2.1     5.7    21.2   147.1
2014 11 24  2347   56985   85620    0    -4.2     2.8     2.3     5.6    24.6   146.7
2014 11 24  2348   56985   85680    0    -4.5     2.0     2.7     5.7    29.0   155.6
2014 11 24  2349   56985   85740    0    -4.4     1.7     3.2     5.7    34.5   158.9
2014 11 24  2350   56985   85800    0    -4.4     2.6     2.4     5.6    25.5   149.8
2014 11 24  2351   56985   85860    0    -4.1     3.8     1.5     5.8    15.4   137.5
2014 11 24  2352   56985   85920    0    -4.0     3.9     1.4     5.8    14.5   136.1
2014 11 24  2353   56985   85980    0    -4.5     3.5     1.0     5.8     9.6   141.8
2014 11 24  2354   56985   86040    0    -3.9     4.2     0.2     5.7     2.2   133.2
2014 11 24  2355   56985   86100    0    -4.0     4.0     0.4     5.7     4.1   135.2
2014 11 24  2356   56985   86160    0    -4.2     3.5     0.9     5.6     9.1   140.3
2014 11 24  2357   56985   86220    0    -4.0     4.3     0.4     5.8     3.7   132.9
2014 11 24  2358   56985   86280    0    -4.2     4.0     0.6     5.8     5.5   135.9
2014 11 24  2359   56985   86340    0    -4.5     3.5     1.0     5.8    10.4   141.7
2014 11 25  0000   56986       0    0    -4.4     3.6     1.3     5.8    13.2   140.4
2014 11 25  0001   56986      60    0    -4.3     3.7     1.4     5.9    13.4   139.5
2014 11 25  0002   56986     120    0    -4.2     4.0     0.8     5.9     7.9   136.4
2014 11 25  0003   56986     180    0    -4.3     4.0     0.1     5.9     0.5   137.4
2014 11 25  0004   56986     240    0    -4.5     3.8    -0.3     5.9    -2.8   139.9
2014 11 25  0005   56986     300    0    -3.9     4.4     0.0     5.9     0.3   131.5
2014 11 25  0006   56986     360    0    -3.7     4.4    -0.6     5.8    -6.2   130.2
2014 11 25  0007   56986     420    0    -3.4     4.6    -1.0     5.8    -9.9   126.6
2014 11 25  0008   56986     480    0    -2.8     4.7    -1.5     5.7   -15.6   120.7
2014 11 25  0009   56986     540    0    -2.9     4.8    -1.1     5.7   -11.1   121.3
2014 11 25  0010   56986     600    0    -3.3     4.8    -0.6     5.8    -5.7   124.7
2014 11 25  0011   56986     660    0    -3.2     4.8    -0.1     5.8    -0.7   124.1
2014 11 25  0012   56986     720    0    -3.7     4.5    -0.6     5.9    -6.0   129.2
2014 11 25  0013   56986     780    0    -4.1     4.1     0.4     5.8     3.8   135.4
2014 11 25  0014   56986     840    0    -4.3     3.9     0.4     5.8     3.7   137.8
2014 11 25  0015   56986     900    0    -4.6     3.5     0.9     5.8     8.6   143.1
2014 11 25  0016   56986     960    0    -4.3     3.9    -0.7     5.8    -6.9   138.1
2014 11 25  0017   56986    1020    0    -4.9     3.3    -0.5     5.9    -4.8   146.3
2014 11 25  0018   56986    1080    0    -5.2     2.7    -0.9     5.9    -8.4   152.8
2014 11 25  0019   56986    1140    0    -4.6     3.6    -0.4     5.9    -3.6   141.7
2014 11 25  0020   56986    1200    0    -2.8     4.6     0.3     5.4     3.6   122.0
2014 11 25  0021   56986    1260    0    -3.0     4.7     0.7     5.6     7.6   122.5
